bgg_id,simple_mechanics,simple_category
104498,Area Movement; Dice Rolling; Worker Placement; Dice,Pirates / Nautical
104527,,Kids / Family
104553,Pattern Building; Tile Placement,Abstract / Strategy
104555,Memory / Matching; Pattern Building,Media / Pop Culture
104558,Dice Rolling; Card Play; Roll and Move,Historical Eras; City / Civilization Building
104573,Engine Building; Stock / Speculation; Pattern Building; Tile Placement,Fantasy / Mythical
104575,Map Building; Asymmetric Powers; Worker Placement,Fantasy / Mythical; War / Historical Battles; Pirates / Nautical
104581,Auction / Bidding; Stock / Speculation; Dice Rolling; Player Elimination; Real-Time,Economic / Industry; Party / Social; Puzzle / Logic
104617,Card Play; Route Building; Drafting; Take That; Tile Placement; Asymmetric Powers,Horror / Zombies; Sports / Racing
104627,Deck / Bag Building; Card Play; Drafting; Trading; Worker Placement,Card Games; City / Civilization Building; Historical Eras; Party / Social
104633,,Historical Eras
104640,Card Play; Role Playing,Party / Social; Humor / Adult; Historical Eras
104655,Simulation; Simultaneous Play,Card Games; Economic / Industry; Educational / STEM
104710,Deck / Bag Building; Dice Rolling; Area Movement; Card Play; Reaction; Tactical Combat; Map Manipulation; Map Building; Pick-up and Deliver; Player Elimination; Take That; Variable Setup,Fantasy / Mythical; War / Historical Battles; Miniatures / Tabletop Battles
104736,Voting,Party / Social
104769,Pattern Building,Action / Dexterity; Card Games; Party / Social
104770,Dice Rolling; Roll and Move; Set Collection; Trading,Kids / Family; Economic / Industry; Card Games
104775,Memory / Matching; Pick-up and Deliver; Push Your Luck,Animals / Nature; Kids / Family; Puzzle / Logic
104780,Dice Rolling; Roll and Move; Set Collection,Kids / Family; Puzzle / Logic
104798,Cooperative; Team Play,Animals / Nature; Kids / Family
104805,Dice Rolling; Dexterity,Action / Dexterity; Animals / Nature; Kids / Family
104809,Dice Rolling,Kids / Family; Dice / Roll Mechanics
104813,,Kids / Family; Educational / STEM; Puzzle / Logic
104814,,Kids / Family
104858,Bluffing; Dice Rolling; Social / Party,Media / Pop Culture; Trivia / Word Games
104955,Area Control; Area Movement; Card Play; Resource Management; Race; Rondel; Capture / Elimination; Tech Tree / Upgrades,Historical Eras; City / Civilization Building
104994,Drafting; Route Building; Scoring; Card Play; Resource Management; Area Control; Pattern Building; Pick-up and Deliver; Area Movement; Tile Placement; Turn Order; Initiative,City / Civilization Building; Economic / Industry
105004,,Abstract / Strategy
105023,Area Movement; Dice Rolling; Solo Play,Pirates / Nautical; War / Historical Battles
105024,Area Movement; Random Activation; Dice Rolling; Drafting; Simulation,Economic / Industry; Modern / Political Conflicts; War / Historical Battles
105037,Scoring; Event Cards; Card Play; Resource Management; Pattern Building; Map Building; Drafting; Worker Placement,Card Games; City / Civilization Building; Economic / Industry; Historical Eras
105123,Area Movement; Memory / Matching,Animals / Nature; Kids / Family; Puzzle / Logic
105134,Area Movement; Dice Rolling; Legacy / Campaign; Drafting; Player Elimination; Asymmetric Powers,Science Fiction / Space; War / Historical Battles
105187,Area Control; Auction / Bidding; Worker Placement,Historical Eras
105199,Card Play; Map Building; Set Collection,Science Fiction / Space
105265,Tile Placement,Abstract / Strategy; Print & Play
105280,,Animals / Nature; Kids / Family; Educational / STEM; Puzzle / Logic
105305,Memory / Matching,Animals / Nature; Kids / Family; Economic / Industry; Puzzle / Logic
105434,,Puzzle / Logic
105550,Dice Rolling; Push Your Luck,Dice / Roll Mechanics
105551,Area Control; Auction / Bidding; Negotiation; Stock / Speculation; Area Movement; Map Building; Resource Management; Cooperative; Team Play; Take That; Tile Placement; Trading; Worker Placement,City / Civilization Building; Economic / Industry; Adventure / Exploration; Pirates / Nautical; Party / Social; Historical Eras
105593,Card Play,Action / Dexterity; Card Games
105602,Social / Party,Puzzle / Logic; Trivia / Word Games
105624,Area Movement; Dice Rolling; Memory / Matching; Tile Placement,Animals / Nature; Dice / Roll Mechanics; Puzzle / Logic; Fantasy / Mythical
105864,Trick Taking / Climbing,Card Games
105866,Memory / Matching; Set Collection,Card Games
106113,Campaign / Scenario; Dice Rolling; Area Movement; Card Play; Map Building; Asymmetric Powers,War / Historical Battles
106174,Card Play; Set Collection,Party / Social; Card Games; Puzzle / Logic; Media / Pop Culture
106217,Action Selection; Area Movement; Resource Management; Map Building; Tile Placement; Worker Placement,Economic / Industry; City / Civilization Building
106523,Dice Rolling; Turn Order,Media / Pop Culture; Miniatures / Tabletop Battles; Science Fiction / Space; War / Historical Battles
106560,Set Collection,Abstract / Strategy
106631,Area Control; Area Movement; Simultaneous Play,Humor / Adult; Science Fiction / Space; War / Historical Battles
